trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-247.3210381669343,"{0: 12, 1: 6, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-152.94111905507273,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-116.11308010779369,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-150.74932122212354,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-136.85782890177742,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-96.5095728922897,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-148.96734928382872,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-88.06821577770515,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-36.40413363632083,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-57.081407330202104,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,5,-107.29765283146561,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-210.42049320201627,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-46.37588012362997,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-213.58655574083397,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 5}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-66.07004062063973,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,9,-51.04634178841341,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-165.03037048819985,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-187.3775224517679,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,4,-135.72287286947395,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-37.35413317827954,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,16,-29.045139175073068,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-82.04788094465115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,9,-76.1326082432331,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-107.53636497317592,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,3,-67.77689688756242,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,2,-141.76544224417705,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,0,-83.32718016989968,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,7,14.179330909642369,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,0.3508886719246318,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-4.107501711096033,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",30,0,-112.96903873941892,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",25,0,-226.87070403116303,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
13,True,"{'a': 0, 'e': 0}",25,0,3.9234977699306484,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,1,-76.24327452332129,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,True,"{'a': 0, 'e': 0}",25,0,-138.4844206953508,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
16,True,"{'a': 0, 'e': 0}",20,1,-56.547467656634126,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",20,6,-31.415312470455426,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,0,-71.60031830989219,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,True,"{'a': 0, 'e': 0}",25,16,-41.12340332620458,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
20,True,"{'a': 0, 'e': 0}",20,0,-97.64867034596534,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
