trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,3,-33.430075693766845,"{0: 13, 1: 7, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-56.29986919157312,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",30,0,-173.43266644526153,"{0: 14, 1: 7, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-20.049267836718375,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-59.771172991542535,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",30,0,-123.04749751916168,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-98.55772944521136,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,7,-51.84327937652112,"{0: 8, 1: 7, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-198.1641041369004,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-64.33406177173894,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-56.9247799661143,"{0: 14, 1: 8, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-149.59718195535854,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.987}",30,0,-85.98175057011048,"{0: 21, 1: 7, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",30,0,-84.60823170714025,"{0: 18, 1: 7, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-89.8170729304115,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-68.83947331282396,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-74.04653344645634,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-149.85632967266332,"{0: 13, 1: 7, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-32.166463022911586,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-69.23730270205594,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.979}",35,0,-127.41905251671108,"{0: 22, 1: 9, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-77.35797767796208,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.977}",30,0,-40.0181953715305,"{0: 22, 1: 7, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-18.112674921763748,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.975}",20,0,-65.51793251340061,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.974}",25,0,-80.563136205688,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,0,-53.82609498601283,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.972}",20,0,-17.07095015175785,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.971}",30,0,-103.11027288313218,"{0: 14, 1: 12, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.97}",20,0,-100.50944104057483,"{0: 11, 1: 7, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.969}",20,0,-30.911500844197768,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.968}",30,0,-71.80585998960368,"{0: 18, 1: 11, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.967}",25,0,-139.38310350970107,"{0: 12, 1: 8, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.966}",25,0,-62.73558764470515,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.965}",25,0,-19.94048445418628,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.964}",25,0,-163.60732434235229,"{0: 8, 1: 11, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.963}",25,0,-102.83739828391941,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.962}",35,0,-72.25111176623213,"{0: 26, 1: 5, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.961}",30,0,-81.70589538186431,"{0: 22, 1: 6, 2: 0, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.96}",25,0,-113.56246318190593,"{0: 13, 1: 10, 2: 0, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.959}",30,0,-39.59927249400474,"{0: 20, 1: 8, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.958}",20,0,-101.40341968137525,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.957}",20,0,-118.07197169021578,"{0: 10, 1: 7, 2: 0, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.956}",25,0,-50.17446588437799,"{0: 14, 1: 10, 2: 0, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-64.74748592960297,"{0: 12, 1: 7, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.954}",20,0,-26.522721062180334,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.953}",20,0,-159.96190264408858,"{0: 7, 1: 9, 2: 1, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.952}",20,0,-61.99394641569031,"{0: 12, 1: 7, 2: 0, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.951}",30,0,-105.19109613039825,"{0: 13, 1: 14, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.95}",20,0,-31.475440054368818,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.949}",20,0,-23.468799106508563,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.948}",20,0,-14.530818010317303,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.947}",25,0,-63.40174245921707,"{0: 17, 1: 6, 2: 0, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.946}",25,0,-99.53113496956182,"{0: 15, 1: 8, 2: 0, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.945}",20,0,-49.42642626743098,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.944}",25,0,-68.8979886526196,"{0: 15, 1: 9, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.943}",20,0,-34.92715401637062,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.942}",20,0,-113.34194447690545,"{0: 7, 1: 10, 2: 1, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.941}",20,0,-10.418660516232544,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.94}",25,0,-118.3208380394809,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.939}",25,0,-42.50700261916349,"{0: 13, 1: 11, 2: 1, 3: 0, 4: 0}",0
