trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-207.3984309574026,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-91.74906155813709,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997}",25,0,-110.69029622801149,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-38.715479655081445,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-95.44913634510813,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-11.516910898822507,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-51.88159341809628,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992}",35,0,-262.7023396756319,"{0: 17, 1: 6, 2: 8, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-153.7762305423814,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.99}",30,0,-148.714722421369,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-89.1753314564594,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-145.56446260937477,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-131.93922570008647,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-85.52486189672602,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985}",35,0,-131.71595244553419,"{0: 18, 1: 6, 2: 10, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",30,7,-137.5617325460106,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-119.40541204721814,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
