trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-94.2493520455665,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-19.43943987484449,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997}",30,0,-142.3518365404658,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-46.07054567298638,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,11,-57.26982038244693,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-71.64228845008333,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-188.32161327917365,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,0,-159.7934064247982,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.991}",30,0,-164.32009559860344,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-160.43625246348503,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.989}",35,0,-119.10022955228364,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",30,0,-102.74609975727924,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-124.52273663037302,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-60.41784079127742,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",30,0,-67.36080598899355,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-103.12428328364517,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-191.66754149380262,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-159.9703883241074,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-127.3616885482257,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-121.59065164521884,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-80.58473061396587,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,2,-192.61134861153013,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",30,0,-99.22619366249705,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,15,-69.4044810771254,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-177.00316530991952,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",30,7,-212.40579313337753,"{0: 10, 1: 1, 2: 6, 3: 4, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,0,-264.8219298895927,"{0: 11, 1: 0, 2: 8, 3: 2, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-120.48444306695608,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,-233.5615672626455,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-264.67549660930905,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
